id,name,brand,brandCn,top,heart,base,intensity,longevity,tier,priceRange,description
壁炉火光,壁炉火光,Maison Margiela,梅森马吉拉,焚香;胡椒,薰衣草;木质,琥珀;雪松,3,3,advanced,700-1100 / 100ml,By the Fireplace 燃烧木头的温暖与甜意
天使,天使,Thierry Mugler,穆格勒,棉花糖;蜂蜜,黑加仑;巧克力,焦糖;麝香;香草,4,5,signature,600-1000 / 50ml,Angel 现代美食调的鼻祖，棉花糖与巧克力的甜疯
毒药,毒药,Dior,迪奥,杏仁;香草,茉莉;玫瑰,檀木;可可;麝香,4,4,advanced,700-1100 / 50ml,Hypnotic Poison 杏仁香草的温暖毒药，甜而不腻
粉色甜品,粉色甜品,Aquolina,阿奎莉娜,棉花糖;糖,草莓;覆盆子,焦糖;香草;麝香,3,3,budget,100-200 / 100ml,Pink Sugar 极甜少女香，平价棉花糖炸弹
初恋,初恋,Kilian,凯利安,棉花糖;橙花,茉莉;蜂蜜,糖;麝香,4,4,signature,1500-2200 / 50ml,Love Dont Be Shy 甜橙花与棉花糖，甜度爆表的情人节香
黑幽灵,黑幽灵,Kilian,凯利安,朗姆;咖啡,焦糖;糖,杏仁;檀木,4,4,signature,1500-2200 / 50ml,Black Phantom 朗姆咖啡的暗黑美食调，又甜又酷
蜂蜜乌木,蜂蜜乌木,Roja Parfums,罗嘉,蜂蜜;茉莉,玫瑰;肉桂,沉香;香草;琥珀,4,5,signature,2000-3500 / 50ml,重度琥珀蜂蜜与乌木，极致奢华的甜暖
巧克力梦,巧克力梦,Montale,蒙塔莱,可可;香草,咖啡;玫瑰,琥珀;麝香,4,4,advanced,500-800 / 50ml,浓郁巧克力美食调，甜的深渊单香成瘾
牛奶,牛奶,Commodity,科摩蒂,牛奶;糖,椰子,檀木;琥珀,2,3,advanced,500-800 / 100ml,Milk 暖甜椰奶檀木，拥抱感的舒适美食调
白晶,白晶,Bvlgari,宝格丽,荔枝;梨,莲花;茉莉,雪松;麝香,2,2,advanced,500-800 / 40ml,Omnia Crystalline 清甜荔枝水汽，夏日淡雅白花香
安娜苏,安娜苏,Anna Sui,安娜苏,草莓;苹果,玫瑰;牡丹,香草;麝香;雪松,2,2,budget,200-400 / 50ml,Fantasia 俏皮花果甜，少女入门首选
赤霞橘光,赤霞橘光,Atelier Cologne,欧珑,橙;香橙;葡萄柚,茉莉;橙花,檀香;麝香,2,2,advanced,500-800 / 30ml,Orange Sanguine 血橙爆汁感，元气十足的柑橘调
沁蓝,沁蓝,Atelier Cologne,欧珑,青柠;柠檬;佛手柑,橙叶;柠檬草,雪松;麝香,1,1,advanced,500-800 / 30ml,Cedrat Enivrant 清冽柠檬与佛手柑的极清爽
海盐柠檬,海盐柠檬,Juliette Has A Gun,配枪朱丽叶,柠檬;青柠,海盐;玫瑰,木质;麝香,2,2,advanced,600-900 / 50ml,清冷柠檬海盐，清凉松弛的日常好搭
格调,格调,Acqua di Parma,帕尔玛之水,柠檬;佛手柑;香橙,迷迭香;薰衣草,雪松;檀香;琥珀,2,2,signature,800-1300 / 50ml,Colonia 百年经典古龙水，意大利绅士的优雅柑橘调
西柚天堂,西柚天堂,Atelier Cologne,欧珑,葡萄柚;香橙;柠檬,薄荷;橙花,香根草;麝香,1,1,advanced,500-800 / 30ml,Pomelo Paradis 葡萄柚的清爽微苦，夏日最提神
红结晶,红结晶,Maison Francis Kurkdjian,MFK,藏红花;茉莉,琥珀;雪松,树脂;麝香,3,4,signature,1800-2500 / 70ml,Baccarat Rouge 540 藏红花琥珀的冰糖葫芦香，仙气又致瘾
不朽之花,不朽之花,Byredo,百瑞德,橙;柠檬,茉莉;百合,檀木;琥珀,2,2,signature,900-1400 / 50ml,Inflorescence 清新白花与柑橘的优雅交织
荒漠玫瑰,荒漠玫瑰,Byredo,百瑞德,柠檬;胡椒,玫瑰;雪松,麝香;琥珀,3,3,signature,900-1400 / 50ml,Rose of No Mans Land 粉红胡椒玫瑰，冷冽的荒漠玫瑰
香柠檬,香柠檬,Jo Malone,祖玛珑,佛手柑;柠檬,橙花;玫瑰,雪松;麝香,1,1,advanced,500-800 / 30ml,清新佛手柑搭配橙花，干净的通勤香
自由之水,自由之水,Floraku,佛罗伊库,黑醋栗叶;青柠,玫瑰;桂花,木质;麝香,2,3,signature,1200-1800 / 50ml,清冷绿意桂花玫瑰，高级感的小众文艺香
